route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
17902,RGRTA,101 ,Avon / Rush Park & Ride,,3,,,
17903,RGRTA,102 ,Newark/Lyons,,3,,,
17904,RGRTA,103 ,Webster,,3,,,
17905,RGRTA,104 ,Brockport,,3,,,
17906,RGRTA,106 ,Hilton/Hamlin/Clarkson,,3,,,
17907,RGRTA,124 ,Marketplace ROC-it,,3,,,
17908,RGRTA,134 ,Hudson ROC-it,,3,,,
17909,RGRTA,145 ,South Ave ROC-it,,3,,,
17910,RGRTA,150 ,Dewey ROC-it,,3,,,
17911,RGRTA,163 ,Lyell ROC-it,,3,,,
17912,RGRTA,N1 ,Nazareth-Penfield,,3,,,
17913,RGRTA,N3 ,Nazareth East End Express,,3,,,
17914,RGRTA,1X/48X ,Lake/University,,3,,,
17915,RGRTA,10X/48X ,Dewey/University,,3,,,
17916,RGRTA,16X/48X ,Crosstown/University,,3,,,
17917,RGRTA,13/48X ,Edison/University,,3,,,
17918,RGRTA,9X/48X ,Jay/University,,3,,,
17919,RGRTA,28X/48X ,Gen Pk Blvd/University,,3,,,
17920,RGRTA,25X/48X ,Thurston/University,,3,,,
17921,RGRTA,4X/48X ,Genesee/University,,3,,,
17922,RGRTA,19X/6X/48X ,Plym/Jeff/University,,3,,,
17923,RGRTA,45X/51X/48X ,South/S Clint/Univ,,3,,,
17924,RGRTA,38X/48X ,E Main/University,,3,,,
17925,RGRTA,36/39X/48X ,Cliff/Bay/University,,3,,,
17926,RGRTA,40X/48X ,Portland/University,,3,,,
17927,RGRTA,34X/41X/48X ,Hdsn/Joseph/University,,3,,,
17928,RGRTA,37X/35X/48X ,N Clinton/St Paul/Univ,,3,,,
17929,RGRTA,47X/31X/48X ,Park/Monroe/University,,3,,,
17930,RGRTA,1X/13X ,Lake/Edison,,3,,,
17931,RGRTA,25X/13X ,Thurston/Edison,,3,,,
17932,RGRTA,10X/13X ,Dewey/Edison,,3,,,
17933,RGRTA,16X/13X ,Crosstown/Edison,,3,,,
17934,RGRTA,9X/13X ,Maple/Jay/Edison,,3,,,
17935,RGRTA,28X/13X ,Gen Pk Blvd/Edison,,3,,,
17936,RGRTA,42X/13X ,Parsells/Edison,,3,,,
17937,RGRTA,19X/6X/13X ,Plymoth/Jefferson/Edison,,3,,,
17938,RGRTA,39X/13X ,Bay/Webster/Edison,,3,,,
17939,RGRTA,37X/35X/13X ,N Clint/St Paul/Edison,,3,,,
17940,RGRTA,4X/13X ,Genesee/Edison,,3,,,
17941,RGRTA,34X/41X/13X ,Hudson/Joseph/Edison,,3,,,
17942,RGRTA,38X/13X ,East Main/Edison,,3,,,
17943,RGRTA,36X/13X ,Clifford/Edison,,3,,,
17944,RGRTA,40X/13X ,Portland/Edison,,3,,,
17945,RGRTA,33X/13X ,Goodman/Edison,,3,,,
17946,RGRTA,45-51/13X ,Sth/Cln/Mn/Uni/Edsn,,3,,,
17947,RGRTA,10X/34X ,Dewey/Hudson,,3,,,
17948,RGRTA,4X/25X/34X ,Genesee/Thurston/Hudson,,3,,,
17949,RGRTA,16X/34X ,Crosstown/Hudson,,3,,,
17950,RGRTA,19X/6X/34X ,Plymoth/Jefferson/Hudson,,3,,,
17951,RGRTA,36X/34X ,Clifford/Hudson,,3,,,
17952,RGRTA,39X/42X/34X ,Bay/Pars/Hudson,,3,,,
17953,RGRTA,33X/34X ,Goodman/Hudson,,3,,,
17954,RGRTA,35X/34X ,St Paul/Hudson,,3,,,
17955,RGRTA,28X/34X ,Genesee Pk Blvd/Hudson,,3,,,
17956,RGRTA,38X/34X ,E Main/Hudson,,3,,,
17957,RGRTA,13X/9X/34X ,Edison/Jay/Mpl/Hudson,,3,,,
17958,RGRTA,45/51/47/48/34 ,Soth/Cln/Mnr/Uni/Hud,,3,,,
17959,RGRTA,10/1X/4X ,Dewey/Lake/Genesee,,3,,,
17960,RGRTA,28/9X/4X ,Gen Pk/Jay/Maple/Genesee,,3,,,
17961,RGRTA,35/37X/4X ,St Paul/Clint/Genesee,,3,,,
17962,RGRTA,41X/34X/4X ,Jsph/Hud/Genesee,,3,,,
17963,RGRTA,40-39X/4X ,Port/Gdmn/Clif/Bay/Gene,,3,,,
17964,RGRTA,38X/42X/4X ,E Main/Parsells/Genesee,,3,,,
17965,RGRTA,13/16X/4X ,Edison/Xtown/Genesee,,3,,,
17966,RGRTA,45-48X/4X ,Soth/Clin/Mnro/Univ/Gen,,3,,,
17967,RGRTA,10/1X/4X ,Dewey/Lake/Gen,,3,,,
17968,RGRTA,28/9X/4X ,Gen Pk/Jay/Maple/Gen,,3,,,
17969,RGRTA,35/37X/4X ,St Paul/Clint/Gen,,3,,,
17970,RGRTA,41X/34X/4X ,Jsph/Hud/Gen,,3,,,
17971,RGRTA,40-39X/4X ,Port/Gdmn/Clif/Bay/Gen,,3,,,
17972,RGRTA,38X/42X/4X ,E Main/Parsells/Gen,,3,,,
17973,RGRTA,13/16X/4X ,Edison/Xtown/Gen,,3,,,
17974,RGRTA,45-48X/4X ,Soth/Clin/Monr/Uni/Gen,,3,,,
